Time,Flow
9/25/2022 0:00,0
9/25/2022 1:00,0
9/25/2022 2:00,0
9/25/2022 3:00,0
9/25/2022 4:00,0
9/25/2022 5:00,0
9/25/2022 6:00,0
9/25/2022 7:00,0
9/25/2022 8:00,0
9/25/2022 9:00,0
9/25/2022 10:00,0
9/25/2022 11:00,0
9/25/2022 12:00,0
9/25/2022 13:00,0
9/25/2022 14:00,0
9/25/2022 15:00,0
9/25/2022 16:00,0
9/25/2022 17:00,0
9/25/2022 18:00,0
9/25/2022 19:00,0
9/25/2022 20:00,0
9/25/2022 21:00,0
9/25/2022 22:00,0
9/25/2022 23:00,0
9/26/2022 0:00,0
9/26/2022 1:00,0
9/26/2022 2:00,0
9/26/2022 3:00,0
9/26/2022 4:00,0
9/26/2022 5:00,0
9/26/2022 6:00,0
9/26/2022 7:00,0
9/26/2022 8:00,0
9/26/2022 9:00,0
9/26/2022 10:00,0
9/26/2022 11:00,0
9/26/2022 12:00,0
9/26/2022 13:00,0
9/26/2022 14:00,0
9/26/2022 15:00,0
9/26/2022 16:00,0
9/26/2022 17:00,0
9/26/2022 18:00,0
9/26/2022 19:00,0
9/26/2022 20:00,0
9/26/2022 21:00,0
9/26/2022 22:00,0
9/26/2022 23:00,0
9/27/2022 0:00,0
9/27/2022 1:00,0
9/27/2022 2:00,0
9/27/2022 3:00,0
9/27/2022 4:00,0
9/27/2022 5:00,0
9/27/2022 6:00,0
9/27/2022 7:00,420
9/27/2022 8:00,629.71
9/27/2022 9:00,629.67
9/27/2022 10:00,629.68
9/27/2022 11:00,629.99
9/27/2022 12:00,630
9/27/2022 13:00,630.03
9/27/2022 14:00,630.03
9/27/2022 15:00,630.03
9/27/2022 16:00,630
9/27/2022 17:00,630
9/27/2022 18:00,630.01
9/27/2022 19:00,630.01
9/27/2022 20:00,629.99
9/27/2022 21:00,629.99
9/27/2022 22:00,629.87
9/27/2022 23:00,629.99
9/28/2022 0:00,630.07
9/28/2022 1:00,630.04
9/28/2022 2:00,630.03
9/28/2022 3:00,630.03
9/28/2022 4:00,630.01
9/28/2022 5:00,630
9/28/2022 6:00,630.01
9/28/2022 7:00,630.01
9/28/2022 8:00,629.99
9/28/2022 9:00,629.86
9/28/2022 10:00,629.82
9/28/2022 11:00,629.84
9/28/2022 12:00,630
9/28/2022 13:00,630.02
9/28/2022 14:00,630.04
9/28/2022 15:00,630.03
9/28/2022 16:00,630
9/28/2022 17:00,419.98
9/28/2022 18:00,419.98
9/28/2022 19:00,420
9/28/2022 20:00,420
9/28/2022 21:00,630
9/28/2022 22:00,629.94
9/28/2022 23:00,629.97
9/29/2022 0:00,630
9/29/2022 1:00,630.05
9/29/2022 2:00,630.01
9/29/2022 3:00,629.97
9/29/2022 4:00,419.91
9/29/2022 5:00,209.89
9/29/2022 6:00,209.87
9/29/2022 7:00,209.9
9/29/2022 8:00,209.96
9/29/2022 9:00,210
9/29/2022 10:00,629.78
9/29/2022 11:00,419.96
9/29/2022 12:00,419.95
9/29/2022 13:00,420.01
9/29/2022 14:00,420.02
9/29/2022 15:00,420
9/29/2022 16:00,419.95
9/29/2022 17:00,419.86
9/29/2022 18:00,0
9/29/2022 19:00,0
9/29/2022 20:00,0
9/29/2022 21:00,629.99
9/29/2022 22:00,629.86
9/29/2022 23:00,629.8
9/30/2022 0:00,629.8
9/30/2022 1:00,629.99
9/30/2022 2:00,630
9/30/2022 3:00,629.97
9/30/2022 4:00,629.84
9/30/2022 5:00,0
9/30/2022 6:00,0
9/30/2022 7:00,0
9/30/2022 8:00,0
9/30/2022 9:00,0
9/30/2022 10:00,210
9/30/2022 11:00,419.82
9/30/2022 12:00,419.77
9/30/2022 13:00,419.83
9/30/2022 14:00,419.98
9/30/2022 15:00,420.03
9/30/2022 16:00,420
9/30/2022 17:00,419.98
9/30/2022 18:00,419.92
9/30/2022 19:00,419.89
9/30/2022 20:00,419.95
9/30/2022 21:00,629.97
9/30/2022 22:00,629.91
9/30/2022 23:00,629.7
10/1/2022 0:00,629.47
10/1/2022 1:00,629.61
10/1/2022 2:00,629.88
10/1/2022 3:00,630
10/1/2022 4:00,630
10/1/2022 5:00,629.92
10/1/2022 6:00,629.8
10/1/2022 7:00,629.8
10/1/2022 8:00,629.88
10/1/2022 9:00,629.92
10/1/2022 10:00,629.73
10/1/2022 11:00,629.21
10/1/2022 12:00,628.61
10/1/2022 13:00,628.27
10/1/2022 14:00,628.6
10/1/2022 15:00,629.26
10/1/2022 16:00,629.78
10/1/2022 17:00,629.96
10/1/2022 18:00,629.99
10/1/2022 19:00,629.99
10/1/2022 20:00,630
10/1/2022 21:00,629.99
10/1/2022 22:00,629.84
10/1/2022 23:00,629.49
